work_order,date,mileage,service_type,technician,description,parts,hours,disposition,next_service_due
WO-074608,02/05/2025,101273,PM_A,"Alvarez, R. (M-3401)",A-service; oil and filter; chassis lube; fire-suppression system pressure gauge within green band; extinguisher tags current,Rotella T4; Baldwin PT8397,1.6,Released to service,"PM_A @ 108,000 mi"
WO-074761,02/19/2025,103933,brake_inspection,"Nguyen, D. (M-3182)","Air-brake inspection per 49 CFR 396.25: lining thickness front 13/32, rear 15/32; leak-down 1 psi/min; slack-adjuster stroke within limit; ABS lamp cycle pass",-,1.4,Passed - no adjustment required,"Brake inspection @ 128,000 mi"
WO-074903,03/05/2025,106593,PM_A,"O'Rourke, K. (M-3287)",A-service; oil and filter; chassis lube; farebox terminal firmware version logged (Genfare Odyssey 4.11.02); AVL data-link confirmed with dispatch,Rotella T4; Baldwin PT8397,1.5,Released to service,"PM_A @ 113,000 mi"
WO-075044,03/19/2025,109253,DVIR_repair,"Bautista, F. (M-3520)",Driver DVIR: rear passenger-side turn-signal lens cracked (curb strike suspected). R&R lens and seal; illumination and cadence verified,Grote 47892 lens; Grote 66562 seal,0.8,Repaired - DVIR cleared,n/a
WO-075182,04/02/2025,111913,PM_A,"Alvarez, R. (M-3401)",A-service; oil and filter; chassis lube; door-edge sensor verification curbside and street-side per SOP FL-19 (5 cycles each) - pass,Rotella T4; Baldwin PT8397,1.7,Released to service,"PM_A @ 118,000 mi"
WO-075321,04/16/2025,114573,tire_rotation,"Nguyen, D. (M-3182)","Rotate steer to drive; steer-tire replacement curbside position (removed tire at 6/32, below 8/32 ACTD steer-axle policy floor); torque and re-torque per 100-mi checklist","Michelin XZE2 315/80R22.5 (2 ea, steer axle)",2.6,Released - new steer tires within spec,"Rotation @ 128,000 mi"
WO-075460,04/30/2025,117233,PM_A,"Alvarez, R. (M-3401)",A-service; oil and filter; chassis lube; ADA kneel-and-ramp cycle test - pass; interior stanchion tightness check,Rotella T4; Baldwin PT8397,1.6,Released to service,"PM_A @ 123,000 mi"
WO-075611,05/14/2025,119893,DVIR_repair,"O'Rourke, K. (M-3287)",Driver DVIR: HVAC blower operator-side low fan-speed only. R&R blower resistor pack; verified all four speeds,MCC resistor pack P/N HV-3311-R,1.5,Repaired - DVIR cleared,n/a
WO-075766,05/28/2025,122553,PM_A,"Bautista, F. (M-3520)",A-service; oil and filter; chassis lube; 8-channel DVR camera system function verification against archive playback,Rotella T4; Baldwin PT8397,1.7,Released to service,"PM_A @ 128,000 mi"
WO-075912,06/11/2025,125213,engine,"Alvarez, R. (M-3401)","Scheduled Cummins ISL 8.9 oil-sample analysis (Blackstone) - sample within trend, no wear-metal excursion; valve-lash inspection per OEM 125K interval - measurements within spec, no adjustment required",Blackstone oil-analysis kit,3.9,Released to service,"Valve-lash @ 250,000 mi"
WO-076048,06/25/2025,127873,PM_A,"Nguyen, D. (M-3182)",A-service; oil and filter; chassis lube; door-lock/destination-sign integration test; operator seat suspension check,Rotella T4; Baldwin PT8397,1.6,Released to service,"PM_A @ 133,000 mi"
WO-076190,07/09/2025,130533,PM_B,"Alvarez, R. (M-3401)","B-service (major): A-service items plus transmission fluid and filter, differential fluid, air-dryer desiccant cartridge, alternator load test, all belts and hoses inspected - no defects",Allison TES-295; Baldwin BF7815; Bendix AD-9 desiccant kit; Fleetguard FF5324/FS19625; Rotella T4,6.1,Released to service,"PM_B @ 154,000 mi"
WO-076341,07/23/2025,133193,DVIR_repair,"O'Rourke, K. (M-3287)",Driver DVIR: farebox reader intermittent tap-card acknowledgment tone. Cleaned contact bezel; reseated harness; verified 25 successful reads across three fare products,Genfare Odyssey harness clip P/N GF-2244,1.0,Repaired - DVIR cleared,n/a
WO-076488,08/06/2025,135853,PM_A,"Bautista, F. (M-3520)",A-service; oil and filter; chassis lube; suspension air-bag visual and drop-test (all six positions) - no anomalies,Rotella T4; Baldwin PT8397,1.7,Released to service,"PM_A @ 141,000 mi"
WO-076612,08/13/2025,137183,DOT_annual,"Delaney, J. (M-3005) Foreman","Annual vehicle inspection per 49 CFR 396.17 and 396.21: brake system, coupling, exhaust, fuel, lighting, safe loading, steering, suspension, frame, tires, wheels/rims, windshield wipers, emergency exits, mirrors, horn, defroster/defogger, seat and belts. All checklist items PASS. Annual inspection decal PL-2026-4177 affixed to interior driver bulkhead.",CVSA-compliant annual inspection decal (2026 series),3.4,Passed - decal issued (expires 08/13/2026),DOT annual @ 08/13/2026
WO-076735,08/20/2025,138513,tire_rotation,"Nguyen, D. (M-3182)",Rotate steer to drive; tread depth all six positions logged; drive-axle balance check,-,1.2,Released - within spec,"Rotation @ 150,000 mi"
WO-076882,09/03/2025,141173,PM_A,"Alvarez, R. (M-3401)",A-service; oil and filter; chassis lube; wheelchair ramp cycle test - pass; passenger stanchion tightness check,Rotella T4; Baldwin PT8397,1.6,Released to service,"PM_A @ 147,000 mi"
WO-077022,09/17/2025,143833,brake_inspection,"Bautista, F. (M-3520)","Air-brake inspection per 49 CFR 396.25: lining thickness front 10/32, rear 12/32 (above OEM replacement threshold 5/32); leak-down 1 psi/min (spec <= 3 psi/min); slack-adjuster stroke within limit; ABS lamp function verified; parking-brake holding test - pass",-,1.4,Passed - no adjustment required,"Brake inspection @ 165,000 mi"
WO-077181,10/01/2025,146493,DVIR_repair,"O'Rourke, K. (M-3287)","Driver DVIR: right-side rearview mirror housing loose at pivot. Replaced pivot bolt and nyloc, torqued to spec; verified adjustment retention over 10-cycle test",Rosco pivot kit P/N RM-5590-K,0.7,Repaired - DVIR cleared,n/a
WO-077310,10/10/2025,148203,PM_A,"Alvarez, R. (M-3401)",A-service completed for Bus 4177 per SOP FL-14: engine oil and filter; chassis lube (14 zerks); all fluid levels checked and topped; exterior and interior lighting audit; wiper blades; horn; mirrors; ADA ramp cycle both sides (3 cycles each) - pass; DVIR log reviewed - no open items,Rotella T4 15W-40 (7 gal); Baldwin PT8397; Fram CA4309 pre-filter element,1.8,Released to service - no defects noted,"PM_A @ 155,000 mi"
